chr	start	end	name	motif_start
chr3	13652208	13652663	L2	13652453
chr3	19763356	19764484	L2	19763909
chr3	21956996	21957263	L2	21957249
chr3	32568601	32568837	L2	32568720
chr3	53256768	53257083	L2	53256884
chr3	53575220	53575749	L2	53575506
chr3	124341403	124341935	L2	124341570
chr3	131727515	131728257	L2	131727727
chr3	169137085	169137737	L2	169137339
chr3	182993649	182994023	L2	182993807
chr3	187712328	187712882	L2	187712551
chr3	194725376	194725621	L2	194725376
chr2	7032351	7032848	L2	7032450
chr2	29277715	29278125	L2	29277842
chr2	38485958	38486520	L2	38486256
chr2	43327944	43328175	L2	43327944
chr2	73105995	73106284	L2	73106228
chr2	98086221	98086435	L2	98086252
chr2	101852502	101852798	L2	101852551
chr2	119077721	119077872	L2	119077840
chr2	148793406	148793956	L2	148793607
chr2	196625705	196626274	L2	196625968
chr2	208694820	208695019	L2	208694945
chr1	15443727	15444061	L2	15443956
chr1	17621123	17621473	L2	17621300
chr1	17719342	17719639	L2	17719573
chr1	20351233	20351739	L2	20351239
chr1	21952737	21952942	L2	21952910
chr1	22904380	22904484	L2	22904454
chr1	27672232	27672356	L2	27672260
chr1	29002077	29002623	L2	29002299
chr1	47468541	47468770	L2	47468736
chr1	65603597	65604421	L2	65603806
chr1	67495455	67496673	L2	67495715
chr1	116819639	116820149	L2	116820126
chr1	120353390	120353683	L2	120353637
chr1	142667133	142667426	L2	142667165
chr1	162353282	162353718	L2	162353481
chr1	193897167	193897709	L2	193897543
chr1	227676974	227677627	L2	227677423
chr9	41656892	41657349	L2	41657162
chr9	42869576	42870034	L2	42869749
chr8	62113029	62113147	L2	62113032
chr8	105452969	105453290	L2	105453062
chr8	126834666	126835068	L2	126834907
chrX	20135908	20136271	THE1B	20136165
chrX	20381505	20381864	THE1B	20381764
chrX	42639971	42640306	THE1B	42640062
chrX	82540999	82541306	THE1B	82541087
chrX	83336372	83336725	THE1B	83336463
chrX	95733296	95733641	THE1B	95733387
chrX	113102604	113102972	THE1B	113102688
chrX	145293886	145294250	THE1B	145293977
chrX	152109040	152109390	THE1B	152109285
chr13	40671179	40671553	THE1B	40671271
chr13	61349657	61350002	THE1B	61349897
chr13	72850271	72850615	THE1B	72850343
chr13	92082948	92083133	THE1B	92083027
chr13	97206824	97207082	L2	97206925
chr13	97629315	97629675	THE1B	97629404
chr12	21462601	21462963	THE1B	21462693
chr12	52879111	52879463	L2	52879399
chr12	53605500	53605869	THE1B	53605764
chr12	100111723	100112085	THE1B	100111980
chr11	15722455	15722851	THE1B	15722539
chr11	42812654	42813008	THE1B	42812905
chr11	79772041	79772384	THE1B	79772280
chr11	106026093	106026453	THE1B	106026185
chr10	2097420	2097773	THE1B	2097511
chr10	20703436	20703777	THE1B	20703510
chr10	20954223	20954581	THE1B	20954310
chr10	26199987	26200348	THE1B	26200243
chr10	38260045	38260400	THE1B	38260140
chr10	43379528	43379646	L2	43379587
chr10	62329414	62330203	L2	62329669
chr10	66395255	66395703	THE1B	66395599
chr10	91004898	91005257	THE1B	91004982
chr10	107986328	107986683	THE1B	107986427
chr10	109496208	109496573	THE1B	109496300
chr10	113851379	113851721	THE1B	113851470
chr10	115066687	115067049	THE1B	115066779
chr17	43229867	43230207	THE1B	43230106
chr16	15917526	15917890	THE1B	15917617
chr15	85505296	85505662	THE1B	85505556
chr14	31394999	31395371	THE1B	31395088
chr14	61627202	61627559	THE1B	61627294
chr14	86241032	86241376	THE1B	86241271
chr19	40268192	40268684	L2	40268533
chr19	62119276	62119782	L2	62119584
chr18	25175745	25176470	L2	25176366
chr18	34244285	34244640	THE1B	34244531
chr18	37282967	37283343	THE1B	37283057
chr18	38146955	38147300	THE1B	38147046
chr18	54513127	54513470	THE1B	54513367
chr22	34035582	34035905	L2	34035819
chr22	35353398	35353869	L2	35353646
chr22	48170243	48170372	L2	48170260
chr20	34010665	34011034	THE1B	34010756
chr20	49095502	49095852	THE1B	49095592
chr21	18981027	18981406	THE1B	18981119
chr7	21443821	21444166	THE1B	21443912
chr7	24163164	24163536	THE1B	24163431
chr7	70074948	70075317	THE1B	70075039
chr7	78943123	78943489	THE1B	78943384
chr7	82512688	82513015	THE1B	82512779
chr7	86326117	86326461	THE1B	86326207
chr7	115820864	115821163	THE1B	115821115
chr7	122449188	122449526	THE1B	122449425
chr7	134243787	134244150	THE1B	134244044
chr7	139421116	139421437	THE1B	139421372
chr7	140261802	140262167	THE1B	140261893
chr6	31543463	31543807	THE1B	31543706
chr6	56212626	56212992	THE1B	56212880
chr6	68986904	68987263	THE1B	68986993
chr6	81985318	81985681	THE1B	81985577
chr6	88848798	88849158	THE1B	88849053
chr6	128738045	128738413	THE1B	128738137
chr6	136010363	136010723	THE1B	136010453
chr6	142328879	142329238	THE1B	142328970
chr6	164564541	164564815	THE1B	164564545
chr5	9139394	9139763	THE1B	9139651
chr5	43983116	43983477	THE1B	43983207
chr5	45837953	45838300	THE1B	45838195
chr5	73098465	73098820	THE1B	73098717
chr5	74205147	74205525	THE1B	74205238
chr5	74492251	74492618	THE1B	74492513
chr5	76415807	76416175	THE1B	76416072
chr5	97806915	97807261	THE1B	97807006
chr5	99563309	99563682	THE1B	99563566
chr5	125054496	125054852	THE1B	125054750
chr5	132166328	132166686	THE1B	132166580
chr5	153199920	153200602	L2	153200430
chr5	159907216	159907581	THE1B	159907308
chr5	169133293	169133651	THE1B	169133547
chr4	10960731	10961097	THE1B	10960823
chr4	12280123	12280482	THE1B	12280217
chr4	18746777	18747139	THE1B	18746869
chr4	24743839	24744202	THE1B	24743931
chr4	38374698	38375062	THE1B	38374956
chr4	44695945	44696321	THE1B	44696216
chr4	53255695	53256052	THE1B	53255787
chr4	56020378	56020742	THE1B	56020637
chr4	111614178	111614535	THE1B	111614267
chr4	115264967	115265332	THE1B	115265229
chr4	154895766	154896122	THE1B	154896017
chr4	163770950	163771306	THE1B	163771202
chr4	186267693	186268038	THE1B	186267933
chr4	190066811	190067171	THE1B	190066902
chr3	3232302	3232597	THE1B	3232557
chr3	8105960	8106324	THE1B	8106218
chr3	39577503	39577851	THE1B	39577747
chr3	42309747	42310113	THE1B	42310007
chr3	103252052	103252416	THE1B	103252311
chr3	112153967	112154279	THE1B	112154059
chr3	116770368	116770726	THE1B	116770623
chr3	120011395	120011760	THE1B	120011486
chr3	144731748	144732109	THE1B	144732000
chr2	7202040	7202405	THE1B	7202299
chr2	45366676	45367039	THE1B	45366933
chr2	68212829	68213195	THE1B	68213071
chr2	83773941	83774300	THE1B	83774028
chr2	98741896	98742252	THE1B	98742146
chr2	100002802	100003175	THE1B	100003068
chr2	168763681	168764051	THE1B	168763944
chr2	174110787	174111149	THE1B	174110879
chr2	174294570	174294923	THE1B	174294653
chr2	177464123	177464478	THE1B	177464373
chr2	207548498	207548859	THE1B	207548753
chr2	228843066	228843428	THE1B	228843322
chr2	237183633	237183987	THE1B	237183724
chr1	18408541	18408897	THE1B	18408632
chr1	38544533	38544897	THE1B	38544792
chr1	58082934	58083624	L2	58083486
chr1	64267479	64267863	THE1B	64267757
chr1	76624287	76624643	THE1B	76624537
chr1	82976145	82976508	THE1B	82976237
chr1	101890032	101890381	THE1B	101890123
chr1	114536444	114536792	THE1B	114536536
chr1	163891695	163892074	THE1B	163891969
chr1	175675419	175675787	THE1B	175675514
chr1	187617423	187617758	THE1B	187617653
chr1	187823630	187823994	THE1B	187823721
chr1	190177583	190177946	THE1B	190177841
chr1	190691171	190691551	THE1B	190691447
chr1	194903372	194903666	THE1B	194903401
chr1	214978445	214978782	THE1B	214978690
chr1	217988593	217988953	THE1B	217988682
chr1	233745349	233745712	THE1B	233745606
chr1	235625203	235625561	THE1B	235625295
chr1	238068088	238068250	THE1B	238068180
chr8	5398306	5398670	THE1B	5398564
chr8	9897595	9897955	THE1B	9897850
chr8	17648143	17648503	THE1B	17648234
chr8	40349050	40349416	THE1B	40349310
chr8	54277949	54278312	THE1B	54278042
chr8	70877456	70877777	L2	70877555
chr8	71103642	71103933	THE1B	71103667
chr8	80011452	80011808	THE1B	80011702
chr8	82908816	82909157	THE1B	82908904
chr8	89920719	89921080	THE1B	89920810
chr8	90435546	90435887	THE1B	90435625
chr8	98309538	98309901	THE1B	98309630
chr8	113356975	113357271	THE1B	113357001
chr8	116475729	116476084	THE1B	116475979
chr8	133590829	133591192	THE1B	133590921
chr8	139244833	139245192	THE1B	139245086
